Date,City,Value
01/04/2011,Badulla,36
01/05/2011,Badulla,31
01/06/2011,Badulla,65
01/07/2011,Badulla,201
01/08/2011,Badulla,54
01/09/2011,Badulla,46
01/10/2011,Badulla,39
01/11/2011,Badulla,49
01/12/2011,Badulla,53
01/01/2011,Monaragala,17
01/02/2011,Monaragala,24
01/03/2011,Monaragala,15
01/04/2011,Monaragala,33
01/05/2011,Monaragala,16
01/06/2011,Monaragala,18
01/07/2011,Monaragala,32
01/08/2011,Monaragala,17
01/09/2011,Monaragala,34
01/10/2011,Monaragala,30
01/11/2011,Monaragala,40
01/12/2011,Monaragala,36
01/01/2011,Rathnapura,47
01/02/2011,Rathnapura,38
01/03/2011,Rathnapura,40
01/04/2011,Rathnapura,113
01/05/2011,Rathnapura,89
01/06/2011,Rathnapura,118
01/07/2011,Rathnapura,153
01/08/2011,Rathnapura,86
01/09/2011,Rathnapura,117
01/10/2011,Rathnapura,87
01/11/2011,Rathnapura,91
01/12/2011,Rathnapura,181
01/01/2011,Kegalla,15
01/02/2011,Kegalla,24
01/03/2011,Kegalla,28
01/04/2011,Kegalla,51
01/05/2011,Kegalla,48
01/06/2011,Kegalla,120
01/07/2011,Kegalla,141
01/08/2011,Kegalla,81
01/09/2011,Kegalla,156
01/10/2011,Kegalla,176
01/11/2011,Kegalla,88
01/12/2011,Kegalla,152
01/01/2011,Kalminai,3
01/02/2011,Kalminai,1
01/03/2011,Kalminai,6
01/04/2011,Kalminai,4
01/05/2011,Kalminai,2
01/06/2011,Kalminai,3
01/07/2011,Kalminai,8
01/08/2011,Kalminai,0
01/09/2011,Kalminai,2
01/10/2011,Kalminai,5
01/11/2011,Kalminai,6
01/12/2011,Kalminai,48
01/01/2012,Colombo,1066
01/02/2012,Colombo,744
01/03/2012,Colombo,630
01/04/2012,Colombo,412
01/05/2012,Colombo,583
01/06/2012,Colombo,1251
01/07/2012,Colombo,1314
01/08/2012,Colombo,1231
01/09/2012,Colombo,525
01/10/2012,Colombo,726
01/11/2012,Colombo,853
01/12/2012,Colombo,682
01/01/2012,Gampaha,847
01/02/2012,Gampaha,640
01/03/2012,Gampaha,447
01/04/2012,Gampaha,367
01/05/2012,Gampaha,397
01/06/2012,Gampaha,1180
01/07/2012,Gampaha,969
01/08/2012,Gampaha,884
01/09/2012,Gampaha,479
01/10/2012,Gampaha,570
01/11/2012,Gampaha,737
01/12/2012,Gampaha,489
01/01/2012,Kalutara,180
01/02/2012,Kalutara,260
01/03/2012,Kalutara,209
01/04/2012,Kalutara,205
01/05/2012,Kalutara,182
01/06/2012,Kalutara,364
01/07/2012,Kalutara,348
01/08/2012,Kalutara,339
01/09/2012,Kalutara,156
01/10/2012,Kalutara,192
01/11/2012,Kalutara,213
01/12/2012,Kalutara,143
01/01/2012,Kandy,270
01/02/2012,Kandy,194
01/03/2012,Kandy,114
01/04/2012,Kandy,122
01/05/2012,Kandy,194
01/06/2012,Kandy,298
01/07/2012,Kandy,287
01/08/2012,Kandy,355
01/09/2012,Kandy,135
01/10/2012,Kandy,177
01/11/2012,Kandy,185
01/12/2012,Kandy,186
01/01/2012,Matale,45
01/02/2012,Matale,47
01/03/2012,Matale,59
01/04/2012,Matale,35
01/05/2012,Matale,32
01/06/2012,Matale,81
01/07/2012,Matale,29
01/08/2012,Matale,62
01/09/2012,Matale,46
01/10/2012,Matale,44
01/11/2012,Matale,47
01/12/2012,Matale,69
01/01/2012,N eliya,24
01/02/2012,N eliya,35
01/03/2012,N eliya,41
01/04/2012,N eliya,25
01/05/2012,N eliya,18
01/06/2012,N eliya,58
01/07/2012,N eliya,30
01/08/2012,N eliya,30
01/09/2012,N eliya,21
01/10/2012,N eliya,17
01/11/2012,N eliya,30
01/12/2012,N eliya,13
01/01/2012,Galle,105
01/02/2012,Galle,105
01/03/2012,Galle,161
01/04/2012,Galle,90
01/05/2012,Galle,99
01/06/2012,Galle,221
01/07/2012,Galle,217
01/08/2012,Galle,241
01/09/2012,Galle,78
01/10/2012,Galle,60
